title,genre,premiere,seasons,length,status,upcoming,table
House of Cards,Political drama,"February 1, 2013","6 seasons, 73 episodes",42–59 min.,Ended[1],,0
Hemlock Grove,Horror/thriller,"April 19, 2013","3 seasons, 33 episodes",45–58 min.,Ended[2],,0
Orange Is the New Black,Comedy-drama,"July 11, 2013","7 seasons, 91 episodes",50–92 min.,Ended[3],,0
Marco Polo,Historical drama,"December 12, 2014","2 seasons, 20 episodes",48–65 min.,Ended[4],,0
Bloodline,Thriller,"March 20, 2015","3 seasons, 33 episodes",48–68 min.,Ended[5],,0
Sense8,Science fiction,"June 5, 2015","2 seasons, 24 episodes",45–152 min.,Ended[6],,0
Narcos,Crime drama,"August 28, 2015","3 seasons, 30 episodes",43–60 min.,Ended[7],,0
Stranger Things,Science fiction/horror,"July 15, 2016","3 seasons, 25 episodes",42–78 min.,Renewed[8],,0
The Get Down,Musical drama,"August 12, 2016","2 parts, 11 episodes",50–93 min.,Ended[9],,0
The Crown,Historical drama,"November 4, 2016","2 seasons, 20 episodes",54–61 min.,"Season 3 due to premiere on November 17, 2019[10] Renewed[11]",,0
Gilmore Girls: A Year in the Life,Family drama,"November 25, 2016",4 episodes,88–102 min.,Miniseries,,0
The OA,Mystery,"December 16, 2016","2 parts, 16 episodes",31–71 min.,Ended[12],,0
A Series of Unfortunate Events,Black-comedy mystery,"January 13, 2017","3 seasons, 25 episodes",36–64 min.,Ended[13],,0
13 Reasons Why,Teen drama/mystery,"March 31, 2017","3 seasons, 39 episodes",49–71 min.,Renewed for final season[14],,0
Gypsy,Psychological thriller,"June 30, 2017","1 season, 10 episodes",46–58 min.,Ended[15],,0
Ozark,Crime drama,"July 21, 2017","2 seasons, 20 episodes",52–80 min.,Renewed[16],,0
Mindhunter,Crime drama,"October 13, 2017","2 seasons, 19 episodes",34–73 min.,Pending,,0
Godless,Western,"November 22, 2017",7 episodes,41–80 min.,Miniseries,,0
Altered Carbon,Science fiction,"February 2, 2018","1 season, 10 episodes",46–66 min.,Renewed[17],,0
Seven Seconds,Crime drama,"February 23, 2018","1 season, 10 episodes",54–80 min.,Ended[18],,0
Lost in Space,Science fiction,"April 13, 2018","1 season, 10 episodes",48–66 min.,"Season 2 due to premiere on December 24, 2019[19]",,0
The Innocents,Supernatural fiction,"August 24, 2018","1 season, 8 episodes",46–56 min.,Ended,,0
The Haunting,Horror anthology,"October 12, 2018","1 season, 10 episodes",43–71 min.,Renewed[20],,0
Chilling Adventures of Sabrina,Supernatural coming-of-age horror,"October 26, 2018","2 parts, 20 episodes",50–64 min.,Renewed for parts 3 and 4[21],,0
Narcos: Mexico,Crime drama,"November 16, 2018","1 season, 10 episodes",55–70 min.,Renewed[22],,0
Tidelands,Supernatural crime drama,"December 14, 2018","1 season, 8 episodes",36–48 min.,Pending,,0
The Umbrella Academy,Superhero action,"February 15, 2019","1 season, 10 episodes",45–60 min.,Renewed[23],,0
The Order,Supernatural horror drama,"March 7, 2019","1 season, 10 episodes",42–51 min.,Renewed[24],,0
Shadow,Thriller,"March 8, 2019","1 season, 8 episodes",40–49 min.,Pending,,0
Black Summer,Zombie drama,"April 11, 2019","1 season, 8 episodes",21–45 min.,Pending,,0
Chambers,Teen psychological thriller,"April 26, 2019","1 season, 10 episodes",38–51 min.,Ended[25],,0
The Society,Mystery drama,"May 10, 2019","1 season, 10 episodes",49–61 min.,Renewed[26],,0
What/If,Social thriller anthology,"May 24, 2019","1 part, 10 episodes",44–58 min.,Pending,,0
When They See Us,Drama,"May 31, 2019",4 episodes,64–88 min.,Miniseries,,0
Trinkets,Coming-of-age drama,"June 14, 2019","1 season, 10 episodes",22–29 min.,Renewed for final season[27],,0
Another Life,Science-fiction,"July 25, 2019","1 season, 10 episodes",37–61 min.,Pending,,0
Wu Assassins,Supernatural martial arts drama,"August 8, 2019","1 season, 10 episodes",40–51 min.,Pending,,0
The Dark Crystal: Age of Resistance,Fantasy,"August 30, 2019","1 season, 10 episodes",47–61 min.,Pending,,0
The I-Land,Science fiction thriller,"September 12, 2019",7 episodes,37–43 min.,Miniseries,,0
Unbelievable,Drama,"September 13, 2019",8 episodes,44–59 min.,Miniseries,,0
