title,genre,status,table,year,premiere_month,premiere_year,seasons_count,episodes_count,length_low,length_hi
House of Cards,political drama,Ended,0,2013,2.0,2013,6,73.0,42,59
Hemlock Grove,horror thriller,Ended,0,2013,4.0,2013,3,33.0,45,58
Orange Is the New Black,comedy drama,Ended,0,2013,7.0,2013,7,91.0,50,92
Marco Polo,historical drama,Ended,0,2014,12.0,2014,2,20.0,48,65
Bloodline,thriller,Ended,0,2015,3.0,2015,3,33.0,48,68
Sense8,science fiction,Ended,0,2015,6.0,2015,2,24.0,45,152
Narcos,crime drama,Ended,0,2015,8.0,2015,3,30.0,43,60
Stranger Things,science fiction horror,Renewed,0,2016,7.0,2016,3,25.0,42,78
The Get Down,musical drama,Ended,0,2016,8.0,2016,2,11.0,50,93
The Crown,historical drama,Renewed,0,2016,11.0,2016,2,20.0,54,61
The OA,mystery,Ended,0,2016,12.0,2016,2,16.0,31,71
A Series of Unfortunate Events,black comedy mystery,Ended,0,2017,1.0,2017,3,25.0,36,64
13 Reasons Why,teen drama mystery,Renewed,0,2017,3.0,2017,3,39.0,49,71
Gypsy,psychological thriller,Ended,0,2017,6.0,2017,1,10.0,46,58
Ozark,crime drama,Renewed,0,2017,7.0,2017,2,20.0,52,80
Altered Carbon,science fiction,Renewed,0,2018,2.0,2018,1,10.0,46,66
Seven Seconds,crime drama,Ended,0,2018,2.0,2018,1,10.0,54,80
Lost in Space,science fiction,Renewed,0,2018,4.0,2018,1,10.0,48,66
The Innocents,supernatural fiction,Ended,0,2018,8.0,2018,1,8.0,46,56
The Haunting,horror anthology,Renewed,0,2018,10.0,2018,1,10.0,43,71
Chilling Adventures of Sabrina,supernatural coming of age horror,Renewed,0,2018,10.0,2018,2,20.0,50,64
Narcos: Mexico,crime drama,Renewed,0,2018,11.0,2018,1,10.0,55,70
The Umbrella Academy,superhero action,Renewed,0,2019,2.0,2019,1,10.0,45,60
The Order,supernatural horror drama,Renewed,0,2019,3.0,2019,1,10.0,42,51
Chambers,teen psychological thriller,Ended,0,2019,4.0,2019,1,10.0,38,51
The Society,mystery drama,Renewed,0,2019,5.0,2019,1,10.0,49,61
Trinkets,coming of age drama,Renewed,0,2019,6.0,2019,1,10.0,22,29
Daredevil,crime drama legal drama,Ended,1,2015,4.0,2015,3,39.0,46,61
Jessica Jones,neo noir psychological thriller,Ended,1,2015,11.0,2015,3,39.0,44,56
Luke Cage,neo blaxploitation neo western,Ended,1,2016,9.0,2016,2,26.0,46,69
Iron Fist,martial arts business drama,Ended,1,2017,3.0,2017,2,23.0,49,61
The Punisher,crime drama conspiracy thriller,Ended,1,2017,11.0,2017,2,26.0,47,58
Unbreakable Kimmy Schmidt,comedy,Ended,2,2015,3.0,2015,4,51.0,23,53
Grace and Frankie,comedy drama,Renewed,2,2015,5.0,2015,5,65.0,25,35
Master of None,comedy,Ended,2,2015,11.0,2015,2,20.0,21,57
W/ Bob & David,sketch comedy,Ended,2,2015,11.0,2015,1,5.0,27,33
Love,romantic comedy,Ended,2,2016,2.0,2016,3,34.0,24,40
Fuller House,sitcom,Renewed,2,2016,2.0,2016,4,57.0,24,36
Flaked,comedy,Ended,2,2016,3.0,2016,2,14.0,30,34
Netflix Presents: The Characters,sketch comedy,Ended,2,2016,3.0,2016,1,8.0,27,38
The Ranch,sitcom,Renewed,2,2016,4.0,2016,7,70.0,25,36
Lady Dynamite,comedy,Ended,2,2016,5.0,2016,2,20.0,26,36
Easy,romantic comedy anthology,Ended,2,2016,9.0,2016,3,25.0,26,52
Haters Back Off,comedy,Ended,2,2016,10.0,2016,2,16.0,24,36
Trailer Park Boys Out of the Park: Europe,mockumentary,Ended,2,2016,10.0,2016,1,8.0,22,30
One Day at a Time,sitcom,Ended,2,2017,1.0,2017,3,39.0,25,35
Santa Clarita Diet,comedy horror,Ended,2,2017,2.0,2017,3,30.0,26,35
Mystery Science Theater 3000: The Return,comic science fiction,Ended,2,2017,4.0,2017,2,20.0,86,94
Girlboss,comedy,Ended,2,2017,4.0,2017,1,13.0,24,29
Dear White People,satire drama,Renewed,2,2017,4.0,2017,3,30.0,21,36
GLOW,comedy,Renewed,2,2017,6.0,2017,3,30.0,27,46
Friends from College,comedy,Ended,2,2017,7.0,2017,2,16.0,26,34
Atypical,coming of age comedy,Renewed,2,2017,8.0,2017,2,18.0,26,38
Disjointed,comedy,Ended,2,2017,8.0,2017,2,20.0,23,32
American Vandal,mockumentary,Ended,2,2017,9.0,2017,2,16.0,26,42
She's Gotta Have It,comedy drama,Ended,2,2017,11.0,2017,2,19.0,32,38
Trailer Park Boys Out of the Park: USA,mockumentary,Ended,2,2017,11.0,2017,1,8.0,23,35
Everything Sucks!,coming of age comedy,Ended,2,2018,2.0,2018,1,10.0,23,27
On My Block,coming of age comedy,Renewed,2,2018,3.0,2018,2,20.0,23,32
All About the Washingtons,comedy,Ended,2,2018,8.0,2018,1,10.0,22,27
The Good Cop,police procedural comedy drama,Ended,2,2018,9.0,2018,1,10.0,43,49
The Kominsky Method,comedy,Renewed,2,2018,11.0,2018,1,8.0,23,34
Sex Education,coming of age comedy drama,Renewed,2,2019,1.0,2019,1,8.0,47,53
Russian Doll,comedy,Renewed,2,2019,2.0,2019,1,8.0,25,30
After Life,comedy,Renewed,2,2019,3.0,2019,1,6.0,25,31
I Think You Should Leave with Tim Robinson,sketch comedy,Renewed,2,2019,4.0,2019,1,6.0,16,18
Dead to Me,dark comedy drama,Renewed,2,2019,5.0,2019,1,10.0,26,33
Mr. Iglesias,comedy,Renewed,2,2019,6.0,2019,1,10.0,26,31
Family Reunion,comedy,Renewed,2,2019,7.0,2019,1,10.0,25,34
The Politician,comedy,Renewed,2,2019,9.0,2019,1,8.0,28,62
BoJack Horseman,black comedy drama,Renewed,3,2014,8.0,2014,5,61.0,25,26
F Is for Family,sitcom,Renewed,3,2015,12.0,2015,3,26.0,25,28
Big Mouth,coming of age comedy,Renewed,3,2017,9.0,2017,3,31.0,25,46
Disenchantment,medieval fantasy comedy,Renewed,3,2018,8.0,2018,2,20.0,22,36
Paradise PD,comedy,Renewed,3,2018,8.0,2018,1,10.0,27,30
Super Drags,superhero lgbt comedy,Ended,3,2018,11.0,2018,1,5.0,23,26
"Love, Death & Robots",anthology,Renewed,3,2019,3.0,2019,1,18.0,6,17
Trailer Park Boys: The Animated Series,mockumentary,Ended,3,2019,3.0,2019,1,10.0,24,25
Tuca & Bertie,comedy,Ended,3,2019,5.0,2019,1,10.0,25,26
Castlevania,dark fantasy,Renewed,4,2017,7.0,2017,2,12.0,23,29
Neo Yokio,science fantasy comedy,Ended,4,2017,9.0,2017,2,7.0,20,65
B: The Beginning,suspense,Renewed,4,2018,3.0,2018,1,12.0,25,27
A.I.C.O. -Incarnation-,science fiction,Ended,4,2018,3.0,2018,1,12.0,25,29
Sword Gai: The Animation,supernatural,Ended,4,2018,3.0,2018,2,24.0,22,23
Lost Song,musical fantasy,Ended,4,2018,3.0,2018,1,12.0,23,24
Aggretsuko,comedy,Renewed,4,2018,4.0,2018,2,20.0,15,20
Baki,martial arts,Renewed,4,2018,6.0,2018,2,26.0,23,24
Ultraman,science fiction,Renewed,4,2019,4.0,2019,1,13.0,23,25
7SEEDS,science fiction,Renewed,4,2019,6.0,2019,1,12.0,24,26
Kengan Ashura,action,Renewed,4,2019,7.0,2019,1,12.0,24,27
Ever After High,nan,Ended,5,2013,5.0,2013,5,17.0,23,47
Turbo Fast,nan,Ended,5,2013,12.0,2013,3,52.0,23,23
VeggieTales in the House,nan,Ended,5,2014,11.0,2014,4,52.0,23,23
All Hail King Julien,nan,Ended,5,2014,12.0,2014,5,65.0,23,23
The Adventures of Puss in Boots,nan,Ended,5,2015,1.0,2015,6,78.0,22,24
Dragons: Race to the Edge,nan,Ended,5,2015,6.0,2015,6,78.0,22,23
Dinotrux,nan,Ended,5,2015,8.0,2015,5,52.0,23,23
The Mr. Peabody & Sherman Show,nan,Ended,5,2015,10.0,2015,4,52.0,23,23
Popples,nan,Ended,5,2015,10.0,2015,3,26.0,24,24
Care Bears and Cousins,nan,Ended,5,2015,11.0,2015,2,12.0,22,22
Dawn of the Croods,nan,Ended,5,2015,12.0,2015,4,52.0,23,23
Lego Bionicle: The Journey to One,nan,Ended,5,2016,3.0,2016,2,5.0,22,22
Lego Friends: The Power of Friendship,nan,Ended,5,2016,3.0,2016,2,4.0,22,22
Kong: King of the Apes,nan,Ended,5,2016,4.0,2016,2,23.0,22,85
Voltron: Legendary Defender,nan,Ended,5,2016,6.0,2016,8,78.0,23,68
Justin Time GO!,nan,Ended,5,2016,6.0,2016,1,13.0,22,22
Word Party,nan,Renewed,5,2016,7.0,2016,3,40.0,13,13
Home: Adventures with Tip & Oh,nan,Ended,5,2016,7.0,2016,4,52.0,22,24
Kulipari: An Army of Frogs,nan,Ended,5,2016,9.0,2016,1,13.0,22,23
Skylanders Academy,nan,Ended,5,2016,10.0,2016,3,38.0,24,44
World of Winx,nan,Ended,5,2016,11.0,2016,2,26.0,24,24
Luna Petunia,nan,Ended,5,2016,12.0,2016,3,22.0,23,24
Trollhunters: Tales of Arcadia,nan,Ended,5,2016,12.0,2016,3,52.0,23,23
Edgar Rice Burroughs' Tarzan and Jane,nan,Ended,5,2017,1.0,2017,2,13.0,22,22
We're Lalaloopsy,nan,Ended,5,2017,1.0,2017,1,13.0,22,22
VeggieTales in the City,nan,Ended,5,2017,2.0,2017,2,26.0,23,23
Legend Quest,nan,Ended,5,2017,2.0,2017,1,13.0,22,22
Buddy Thunderstruck,nan,Ended,5,2017,3.0,2017,1,12.0,13,24
All Hail King Julien: Exiled,nan,Ended,5,2017,5.0,2017,1,13.0,23,23
Lego Elves: Secrets of Elvendale,nan,Ended,5,2017,9.0,2017,1,8.0,24,25
The Magic School Bus Rides Again,nan,Ended,5,2017,9.0,2017,2,26.0,25,25
Dinotrux Supercharged,nan,Ended,5,2017,11.0,2017,3,26.0,24,24
Stretch Armstrong and the Flex Fighters,nan,Ended,5,2017,11.0,2017,2,23.0,23,23
Llama Llama,nan,Renewed,5,2018,1.0,2018,1,15.0,24,24
Luna Petunia: Return to Amazia,nan,Ended,5,2018,2.0,2018,2,11.0,24,24
The Hollow,nan,Renewed,5,2018,6.0,2018,1,10.0,24,24
True: Magical Friends,nan,Ended,5,2018,6.0,2018,1,5.0,24,24
True: Wonderful Wishes,nan,Ended,5,2018,6.0,2018,1,5.0,24,24
Harvey Girls Forever!,nan,Renewed,5,2018,6.0,2018,2,26.0,24,24
The Dragon Prince,nan,Renewed,5,2018,9.0,2018,2,18.0,25,27
Hilda,nan,Renewed,5,2018,9.0,2018,1,13.0,24,24
She-Ra and the Princesses of Power,nan,Renewed,5,2018,11.0,2018,3,26.0,24,24
Kulipari: Dream Walker,nan,Ended,5,2018,11.0,2018,1,10.0,23,23
3Below: Tales of Arcadia,nan,Ended,5,2018,12.0,2018,2,26.0,23,24
The Last Kids on Earth,nan,Renewed,5,2019,9.0,2019,1,1.0,68,68
Dance & Sing with True,nan,Ended,6,2018,5.0,2018,1,11.0,2,2
Super Monsters Monster Party,nan,Ended,6,2018,9.0,2018,1,4.0,2,2
Richie Rich,sitcom,Ended,7,2015,2.0,2015,2,21.0,21,23
Project Mc2,comedy,Ended,7,2015,8.0,2015,6,26.0,22,34
Julie's Greenroom,educational,Ended,7,2017,3.0,2017,1,13.0,27,34
Greenhouse Academy,science fiction teen drama,Renewed,7,2017,9.0,2017,2,24.0,21,28
Alexa & Katie,sitcom,Renewed,7,2018,3.0,2018,2,23.0,22,30
The Who Was? Show,educational,Ended,7,2018,5.0,2018,1,13.0,23,27
No Good Nick,sitcom,Ended,7,2019,4.0,2019,2,20.0,26,32
Malibu Rescue: The Series,comedy,Renewed,7,2019,6.0,2019,1,8.0,22,26
Team Kaylie,sitcom,Renewed,7,2019,9.0,2019,1,5.0,27,30
Club de Cuervos,comedy drama,Ended,8,2015,8.0,2015,4,45.0,36,94
Marseille,political drama,Ended,8,2016,5.0,2016,2,16.0,35,53
Estocolmo,crime drama,Ended,8,2016,11.0,2016,1,13.0,37,49
3%,science fiction,Renewed,8,2016,11.0,2016,3,26.0,38,51
Ingobernable,political drama,Ended,8,2017,3.0,2017,2,27.0,32,50
My Only Love Song,comedy,Ended,8,2017,6.0,2017,1,20.0,27,30
Suburra: Blood on Rome,crime drama,Renewed,8,2017,10.0,2017,2,18.0,42,62
Blazing Transfer Student,action comedy,Ended,8,2017,11.0,2017,1,8.0,23,28
Dark,science fiction,Renewed,8,2017,12.0,2017,2,18.0,45,61
Edha,drama,Ended,8,2018,3.0,2018,1,10.0,38,43
The Rain,post apocalyptic drama,Renewed,8,2018,5.0,2018,2,14.0,36,49
Club de Cuervos Presents: The Ballad of Hugo Sánchez,comedy,Ended,8,2018,6.0,2018,1,6.0,29,37
Jimmy: The True Story of a True Idiot,comedy,Ended,8,2018,7.0,2018,1,9.0,39,64
Switched,science fiction,Ended,8,2018,8.0,2018,1,6.0,33,44
The House of Flowers,comedy,Renewed,8,2018,8.0,2018,2,22.0,27,40
