LATITUDE,LONGITUDE,start_end,incident
35.895263,-78.319615,start,0
35.53995,-78.2418,start,1
35.933946,-78.296641,start,2
35.119702,-76.891707,start,3
34.74355,-78.40795,start,4
35.218565,-78.082289,start,5
35.75229,-78.63119,start,6
35.895263,-78.319615,start,7
35.003934,-78.249907,start,8
35.596422,-78.163493,start,9
34.79869,-77.21341,start,10
35.225699,-78.336017,start,11
35.7024,-78.58124,start,12
36.201258,-78.238257,start,13
34.21948,-78.6181,start,14
35.489454,-77.998155,start,15
34.20031,-78.60888,start,16
34.166602,-77.900993,start,17
35.650635,-77.029274,start,18
35.53596,-78.70178,start,19
35.216972,-77.956552,start,20
36.201258,-78.238257,start,21
35.489454,-77.998155,start,22
35.75386,-78.63124,start,23
35.216972,-77.956552,start,24
36.320277,-77.002846,start,25
36.12287,-78.690728,start,26
34.818472,-77.930319,start,27
36.07466,-75.725962,start,28
35.218625,-78.072345,start,29
35.330934,-77.527488,start,30
35.210204,-77.907879,start,31
35.511658,-76.792417,start,32
35.8869,-78.361901,start,33
34.34157,-78.59961,start,34
36.285167,-76.060488,start,35
35.511526,-76.792452,start,36
35.536799,-76.774205,start,37
35.540822,-78.246873,start,38
35.333816,-77.565083,start,39
35.52244,-78.72001,start,40
35.2386,-78.05824,start,41
35.359015,-77.846148,start,42
34.972205,-77.988795,start,43
34.286061,-77.825422,start,44
35.330934,-77.527488,start,45
35.77777,-78.66277,start,46
35.55759,-78.18438,start,47
35.514698,-77.413977,start,48
35.210204,-77.907879,start,49
35.90092,-78.40649,start,50
34.333947,-78.599395,start,51
35.359015,-77.846148,start,52
34.64335,-78.73596,start,53
35.218565,-78.082289,start,54
35.119702,-76.891707,start,55
34.25214,-77.95112,start,56
34.446002,-78.660584,start,57
36.541851,-77.578491,start,58
35.511526,-76.792452,start,59
35.536799,-76.774205,start,60
34.79869,-77.21341,start,61
35.7024,-78.58124,start,62
35.77802,-78.66385,start,63
35.10575,-75.96174,start,64
35.56355,-78.18962,start,65
35.54067,-78.24568,start,66
35.218625,-78.072345,start,67
36.31483,-78.52875,start,68
36.288935,-76.945519,start,69
35.333816,-77.565083,start,70
36.285167,-76.060488,start,71
35.596422,-78.163493,start,72
35.23874,-78.05853,start,73
34.388807,-78.306478,start,74
34.286061,-77.825422,start,75
34.818472,-77.930319,start,76
35.21259,-78.081111,start,77
35.129942,-77.724073,start,78
35.51471,-77.41399,start,79
35.650635,-77.029274,start,80
35.511658,-76.792417,start,81
35.225699,-78.336017,start,82
36.288935,-76.945519,start,83
35.10649,-75.96969,start,84
34.166602,-77.900993,start,85
35.21259,-78.081111,start,86
34.446002,-78.660584,start,87
35.933946,-78.296641,start,88
35.8869,-78.361901,start,89
35.003934,-78.249907,start,90
35.540822,-78.246873,start,91
34.972205,-77.988795,start,92
35.90092,-78.40649,start,93
36.07466,-75.725962,start,94
34.333947,-78.599395,start,95
36.31383,-78.53745,start,96
35.777027,-78.709261,start,97
35.777027,-78.709261,start,98
35.234038,-77.826608,start,99
34.25204,-77.95092,start,100
36.320277,-77.002846,start,101
35.234038,-77.826608,start,102
34.643348,-78.735957,start,103
35.895263,-78.319615,end,0
35.54067,-78.24568,end,1
35.933946,-78.296641,end,2
35.119702,-76.891707,end,3
34.74355,-78.40795,end,4
35.218565,-78.082289,end,5
35.75386,-78.63124,end,6
35.895263,-78.319615,end,7
35.003934,-78.249907,end,8
35.596422,-78.163493,end,9
34.79869,-77.21341,end,10
35.225699,-78.336017,end,11
35.7024,-78.58124,end,12
36.201258,-78.238257,end,13
34.20031,-78.60888,end,14
35.489454,-77.998155,end,15
34.21948,-78.6181,end,16
34.166602,-77.900993,end,17
35.650635,-77.029274,end,18
35.52244,-78.72001,end,19
35.216972,-77.956552,end,20
36.201258,-78.238257,end,21
35.489454,-77.998155,end,22
35.75229,-78.63119,end,23
35.216972,-77.956552,end,24
36.320277,-77.002846,end,25
36.12287,-78.690728,end,26
34.818472,-77.930319,end,27
36.07466,-75.725962,end,28
35.218625,-78.072345,end,29
35.330934,-77.527488,end,30
35.210204,-77.907879,end,31
35.511658,-76.792417,end,32
35.8869,-78.361901,end,33
34.332538,-78.599337,end,34
36.285167,-76.060488,end,35
35.511526,-76.792452,end,36
35.536799,-76.774205,end,37
35.540822,-78.246873,end,38
35.333816,-77.565083,end,39
35.53596,-78.70178,end,40
35.2386,-78.05824,end,41
35.359015,-77.846148,end,42
34.972205,-77.988795,end,43
34.286061,-77.825422,end,44
35.330934,-77.527488,end,45
35.77802,-78.66385,end,46
35.56355,-78.18962,end,47
35.514698,-77.413977,end,48
35.210204,-77.907879,end,49
35.90092,-78.40649,end,50
34.333947,-78.599395,end,51
35.359015,-77.846148,end,52
34.64335,-78.73596,end,53
35.218565,-78.082289,end,54
35.119702,-76.891707,end,55
34.25204,-77.95092,end,56
34.446002,-78.660584,end,57
36.539197,-77.580728,end,58
35.511526,-76.792452,end,59
35.536799,-76.774205,end,60
34.79869,-77.21341,end,61
35.7024,-78.58124,end,62
35.77777,-78.66277,end,63
35.10649,-75.96969,end,64
35.55759,-78.18438,end,65
35.53995,-78.2418,end,66
35.218625,-78.072345,end,67
36.31383,-78.53745,end,68
36.288935,-76.945519,end,69
35.333816,-77.565083,end,70
36.285167,-76.060488,end,71
35.596422,-78.163493,end,72
35.23874,-78.05853,end,73
34.388807,-78.306478,end,74
34.286061,-77.825422,end,75
34.818472,-77.930319,end,76
35.21259,-78.081111,end,77
35.129942,-77.724073,end,78
35.51471,-77.41399,end,79
35.650635,-77.029274,end,80
35.511658,-76.792417,end,81
35.225699,-78.336017,end,82
36.288935,-76.945519,end,83
35.10575,-75.96174,end,84
34.166602,-77.900993,end,85
35.21259,-78.081111,end,86
34.446002,-78.660584,end,87
35.933946,-78.296641,end,88
35.8869,-78.361901,end,89
35.003934,-78.249907,end,90
35.540822,-78.246873,end,91
34.972205,-77.988795,end,92
35.90092,-78.40649,end,93
36.07466,-75.725962,end,94
34.333947,-78.599395,end,95
36.31483,-78.52875,end,96
35.777027,-78.709261,end,97
35.777027,-78.709261,end,98
35.234038,-77.826608,end,99
34.25214,-77.95112,end,100
36.320277,-77.002846,end,101
35.234038,-77.826608,end,102
34.643348,-78.735957,end,103
