id,username,date,text,hashtags,geo,type,tweet,road_closure
1191432117407772672,CaltransDist3,2019-11-04 19:08:47,we are accepting applications for associate transportation planners  for more information or to apply click  ,[],,official,We are accepting applications for associate transportation planners  For more information or to apply click  ,0
1191430931711528960,CaltransHQ,2019-11-04 19:04:04,#trafficalert  fire related state hwy  closures - monday nov  4th   11 am  please note conditions are subject to c…  ,"[{'text': 'TrafficAlert', 'indices': [0, 13]}]",,official,#TrafficAlert  Fire related State Hwy  Closures - Monday Nov  4th   11 AM  Please note conditions are subject to c…  ,1
1191430875327545345,CaltransDist1,2019-11-04 19:03:51,one-way traffic control is in effect on    highway 101 just north of willits in mendocino county  please expect d…  ,[],,official,One-way traffic control is in effect on    Highway 101 just north of Willits in Mendocino County  Please expect d…  ,1
1191427801984823297,VCFD,2019-11-04 18:51:38,rt  vcstar  a great horned owl had a lucky day saturday   ,[],,official,RT  vcstar  A great horned owl had a lucky day Saturday   ,0
1191424007297331202,CAL_FIRE,2019-11-04 18:36:33,#ranchfire off colyer springs rd and raglin ridge rd southwest of red bluff in tehama county is 600 acres and 15 …  ,"[{'text': 'RanchFire', 'indices': [0, 10]}]",,official,#RanchFire off Colyer Springs Rd and Raglin Ridge Rd southwest of Red Bluff in Tehama county is 600 acres and 15 …  ,1
1191421218462715904,CaltransDist1,2019-11-04 18:25:28,vehicle recovery underway just north of willits on    highway 101 in mendocino county  both lanes are closed  ple…  ,[],,official,Vehicle recovery underway just north of Willits on    Highway 101 in Mendocino County  Both lanes are closed  Ple…  ,1
1191417460022378497,Caltrans8,2019-11-04 18:10:32,state route 74 raised curb median safety project  menifee  construction activities for week of november 4 2019  ,[],,official,State Route 74 Raised Curb Median Safety Project  Menifee  Construction Activities for Week of November 4 2019  ,0
1191414485870735361,VCFD,2019-11-04 17:58:43,update  the crew bamed the owl “ram” after their favorite nfl team and their own mascot   ramsnfl,[],,official,Update  The crew bamed the owl “Ram” after their favorite NFL team and their own mascot   RamsNFL,0
1191412258162659328,CaltransHQ,2019-11-04 17:49:52,michael &amp  milinda may see her as a super-mom but that doesnt mean shes invincible  lets keep her safe out there…  ,[],,official,Michael &amp  Milinda may see her as a super-mom but that doesnt mean shes invincible  Lets keep her safe out there…  ,0
1191399667973554177,VCFD,2019-11-04 16:59:50,"rt  vcfd pio  #mariafire  incident fact sheet as of 7 00 am on 11 4 19 
actualización informativa del incedio mariafire
 vcfd  cal fire htt…","[{'text': 'MariaFire', 'indices': [14, 24]}]",,official,"RT  VCFD PIO  #MariaFire  Incident Fact Sheet as of 7 00 AM on 11 4 19 
Actualización informativa del Incedio MariaFire
 VCFD  CAL FIRE htt…",0
1191399350917685248,CaltransDist1,2019-11-04 16:58:35,   highway 101 is closed both ways following a traffic collision just north of willits in mendocino county  there…  ,[],,official,   Highway 101 is closed both ways following a traffic collision just north of Willits in Mendocino County  There…  ,1
1191396087745019917,CaltransDist10,2019-11-04 16:45:37,"reminder  full highway closure starts today
tuolumne county route 108 will be closed 10   3    starting today…  ",[],,official,"REMINDER  FULL HIGHWAY CLOSURE STARTS TODAY
Tuolumne County Route 108 Will Be Closed 10   3    starting today…  ",1
1191395272376516611,CaltransD2,2019-11-04 16:42:22,"southbound i-5 exit 730 closed

as of monday november 4th the southbound exit #730 at central dunsmuir is closed t…  ",[],,official,"SOUTHBOUND I-5 EXIT 730 CLOSED

As of Monday November 4th the Southbound Exit #730 at Central Dunsmuir is closed t…  ",1
1191395171553959936,Caltrans8,2019-11-04 16:41:58,update  collision cleared all lanes open   ,[],,official,Update  Collision cleared all lanes open   ,0
1191394506475790336,Caltrans8,2019-11-04 16:39:20,update  collision cleared all lanes open   ,[],,official,Update  Collision cleared all lanes open   ,0
1191393961308389379,CaltransDist7,2019-11-04 16:37:10,i-10 hov  caltransdist7 construction update in  westcovinacity  for mon  nov  4  allow extra time to reach your de…  ,[],,official,I-10 HOV  CaltransDist7 construction update in  WestCovinaCity  for Mon  Nov  4  Allow extra time to reach your de…  ,0
1191387024034430976,CaltransDist7,2019-11-04 16:09:36,update  all lanes are open on wb i-210 at towne ave #claremont following removal of overturned big rig   ,"[{'text': 'Claremont', 'indices': [52, 62]}]",,official,UPDATE  All lanes are open on WB I-210 at Towne Ave #Claremont following removal of overturned big rig   ,0
1191383144370495489,CALFIRE_PIO,2019-11-04 15:54:11,#rt  cal fire  #kincadefire off john kincade road and burned mountain road northeast of geyserville in sonoma coun…  ,"[{'text': 'RT', 'indices': [0, 3]}, {'text': 'KincadeFire', 'indices': [15, 27]}]",,official,#RT  CAL FIRE  #KincadeFire off John Kincade Road and Burned Mountain Road northeast of Geyserville in Sonoma Coun…  ,1
1191383142365618177,CALFIRE_PIO,2019-11-04 15:54:10,#rt  cal fire  #mariafire off of bradley road and solano verde dr top of south mt santa paula in ventura county i…  ,"[{'text': 'RT', 'indices': [0, 3]}, {'text': 'MariaFire', 'indices': [15, 25]}]",,official,#RT  CAL FIRE  #MariaFire off of Bradley Road and Solano Verde Dr Top of South Mt Santa Paula in Ventura County i…  ,1
1191383140859822081,CALFIRE_PIO,2019-11-04 15:54:10,#rt  cal fire  #ranchfire off colyer springs rd and raglin ridge rd southwest of red bluff in tehama county is 550…  ,"[{'text': 'RT', 'indices': [0, 3]}, {'text': 'RanchFire', 'indices': [15, 25]}]",,official,#RT  CAL FIRE  #RanchFire off Colyer Springs Rd and Raglin Ridge Rd southwest of Red Bluff in Tehama county is 550…  ,1
1191382708477464576,Caltrans8,2019-11-04 15:52:27,rivco  eb sr-91 west of spruce st  in riverside  traffic collision blocking shoulder  unknown duration of clear  #caltrans8,"[{'text': 'Caltrans8', 'indices': [114, 124]}]",,official,RIVCO  EB SR-91 west of Spruce St  in Riverside  Traffic collision blocking shoulder  Unknown duration of clear  #Caltrans8,0
1191382367048552454,Caltrans8,2019-11-04 15:51:05,state route 74 raised curb median safety project  menifee  construction activities for week of november 4 2019…  ,[],,official,State Route 74 Raised Curb Median Safety Project  Menifee  Construction Activities for Week of November 4 2019…  ,0
1191381292258074625,Caltrans8,2019-11-04 15:46:49,rivco  wb sr-60 east of i-15 connector in jurupa valley  traffic collision blocking lane #4 and shoulder  unknown d…  ,[],,official,RIVCO  WB SR-60 east of I-15 connector in Jurupa Valley  Traffic collision blocking lane #4 and shoulder  Unknown d…  ,1
1191374675844055040,CAL_FIRE,2019-11-04 15:20:32,#kincadefire off john kincade road and burned mountain road northeast of geyserville in sonoma county is 77758 ac…  ,"[{'text': 'KincadeFire', 'indices': [0, 12]}]",,official,#KincadeFire off John Kincade Road and Burned Mountain Road northeast of Geyserville in Sonoma County is 77758 ac…  ,1
1191371005257633792,CAL_FIRE,2019-11-04 15:05:56,#mariafire off of bradley road and solano verde dr top of south mt santa paula in ventura county is 9412 acres a…  ,"[{'text': 'MariaFire', 'indices': [0, 10]}]",,official,#MariaFire off of Bradley Road and Solano Verde Dr Top of South Mt Santa Paula in Ventura County is 9412 acres a…  ,1
1191369928713986049,CAL_FIRE,2019-11-04 15:01:40,#ranchfire off colyer springs rd and raglin ridge rd southwest of red bluff in tehama county is 550 acres and 10 …  ,"[{'text': 'RanchFire', 'indices': [0, 10]}]",,official,#RanchFire off Colyer Springs Rd and Raglin Ridge Rd southwest of Red Bluff in Tehama county is 550 acres and 10 …  ,1
1191369760887336960,CALFIRELNU,2019-11-04 15:01:00,#kincadefire off john kincade road and burned mountain road northeast of geyserville in sonoma county is 77758 ac…  ,"[{'text': 'KincadeFire', 'indices': [0, 12]}]",,official,#KincadeFire off John Kincade Road and Burned Mountain Road northeast of Geyserville in Sonoma County is 77758 ac…  ,1
