id,username,date,text,hashtags,geo,type
1187452569204867073,CaltransHQ,2019-10-24 19:35:28,RT @CountyofSonoma: Actualización de Kincade Fire: Centros de Evacuacion: https://t.co/Z6NLPqW1Xu,[],,official
1187451574165082112,CALFIRE_PIO,2019-10-24 19:31:31,"#RT @CAL_FIRE: New incident: #MuirFire off Highway 1 and Panoramic Hwy, Stinson Beach in Marin County is 40 acres.… https://t.co/LXbbAbcyp7","[{'text': 'RT', 'indices': [0, 3]}, {'text': 'MuirFire', 'indices': [29, 38]}]",,official
1187451571644305411,CALFIRE_PIO,2019-10-24 19:31:31,"#RT @CAL_FIRE: #KincadeFire [update] For live video of the press briefing, please visit: https://t.co/yHo3oUZxol","[{'text': 'RT', 'indices': [0, 3]}, {'text': 'KincadeFire', 'indices': [15, 27]}]",,official
1187451568276361217,CALFIRE_PIO,2019-10-24 19:31:30,#RT @CAL_FIRE: #KincadeFire [update] CAL FIRE and Sonoma County Sheriff’s officials will provide an update on the c… https://t.co/tn1hF0VQ5l,"[{'text': 'RT', 'indices': [0, 3]}, {'text': 'KincadeFire', 'indices': [15, 27]}]",,official
1187449045536706560,CALFIRESANDIEGO,2019-10-24 19:21:28,".@CALFIRESANDIEGO is aware of two fires burning in Mexico. Neither pose a threat to the US at this time, however we… https://t.co/nLhIbo6Zxp",[],,official
1187448453367914497,CAL_FIRE,2019-10-24 19:19:07,"New incident: #MuirFire off Highway 1 and Panoramic Hwy, Stinson Beach in Marin County is 40 acres. Lead agency:… https://t.co/orTNyKIlcI","[{'text': 'MuirFire', 'indices': [14, 23]}]",,official
1187446812535246848,CaltransDist3,2019-10-24 19:12:36,"RT @CALFIRE_ButteCo: Much of #ButteCounty remains under a Red Flag Warning today.  In response to this, we have stopped work on various fue…","[{'text': 'ButteCounty', 'indices': [29, 41]}]",,official
1187444073893777408,CAL_FIRE,2019-10-24 19:01:43,"#KincadeFire [update] For live video of the press briefing, please visit: https://t.co/ZB0ko50RFB","[{'text': 'KincadeFire', 'indices': [0, 12]}]",,official
1187435865657626624,CaltransHQ,2019-10-24 18:29:06,RT @Caltrans8: Caltrans is working with USFS and San Bernardino County Fire on the #OldWaterFire incident which has SR 18 closed from 40th…,"[{'text': 'OldWaterFire', 'indices': [83, 96]}]",,official
1187431303081152513,CaltransHQ,2019-10-24 18:10:58,RT @NWSLosAngeles: Critical fire weather conditions thru Friday w/ wind gusts 40-70 mph &amp; very low humidity esp. over the Mtns. Red Flag Wa…,[],,official
1187428652398477312,CALFIRE_MEU,2019-10-24 18:00:26,"Check out my ""Favorite pages"" collection on Google: https://t.co/QMAJZcSZBC",[],,official
1187428362035154945,VCFD,2019-10-24 17:59:17,RT @VCFD_PIO: The additional equipment in Ventura County has been assembled and briefed on current conditions and plans adding an extra 15…,[],,official
1187426875930374144,CAL_FIRE,2019-10-24 17:53:23,#KincadeFire [update] CAL FIRE and Sonoma County Sheriff’s officials will provide an update on the current status o… https://t.co/SyJTuf7mvm,"[{'text': 'KincadeFire', 'indices': [0, 12]}]",,official
1187426384550887424,CALFIRELNU,2019-10-24 17:51:26,"#KINCADEFIRE PRESS CONFERENCE ANNOUNCEMENT
#CALFIRELNU #CALFIRE https://t.co/dpOSuXkN87","[{'text': 'KINCADEFIRE', 'indices': [0, 12]}, {'text': 'CALFIRELNU', 'indices': [43, 54]}, {'text': 'CALFIRE', 'indices': [55, 63]}]",,official
1187425096056442880,CaltransHQ,2019-10-24 17:46:18,RT @Cal_OES: Current statewide fire map as of 8am this morning showing location of active fires. For the latest fire information check out…,[],,official
1187423179381149696,CaltransHQ,2019-10-24 17:38:41,RT @CAgovernor: LIVE NOW: @GavinNewsom delivers a briefing on the utility company Public Safety Power Shutoffs and fire threats throughout…,[],,official
1187421878979162113,CaltransHQ,2019-10-24 17:33:31,"RT @Cal_OES: If your power is out, PG&amp;E Community Resource Centers are available throughout California with restrooms, bottled water, A/C,…",[],,official
1187419313742864384,CaltransHQ,2019-10-24 17:23:20,"RT @fema: If you are in an area at risk for wildfires, stay safe:

🔹 If authorities tell you to evacuate, leave quickly.

🔹 Pay attention t…",[],,official
1187418978991271936,VCFD,2019-10-24 17:22:00,"RT @SCE: Due to weather conditions that may create the potential for elevated fire risk, Public Safety Power Shutoffs are under considerati…",[],,official
1187418190474702848,CaltransHQ,2019-10-24 17:18:52,RT @placervillepd: Oct. 21-25 is National School Bus Safety Week. Remember to stop on red for buses. It not only keeps kids getting on or o…,[],,official
1187417973369106432,CaltransHQ,2019-10-24 17:18:00,"RT @Cal_OES: The time is NOW to prepare. Do not wait until instructed to evacuate. Create a disaster preparedness plan, build an emergency…",[],,official
1187417025984876544,CALFIREAEU,2019-10-24 17:14:14,10:20 Update #PrinceFire - Vegetation Fire has been held to less than an acre. Firefighters will remain on scene to continue to mop up.,"[{'text': 'PrinceFire', 'indices': [13, 24]}]",,official
1187414546534686720,CaltransHQ,2019-10-24 17:04:23,"RT @NWSSacramento: 🔥 Here's the latest fire weather outlook. 

⚠️Extreme fire weather conditions are likely this weekend. Now is the time t…",[],,official
1187414506453909505,CaltransHQ,2019-10-24 17:04:14,"RT @CAgovernor: We are monitoring the #KincadeFire that broke out overnight. Evacuations are underway now. 

Follow @CAL_FIRE for new updat…","[{'text': 'KincadeFire', 'indices': [38, 50]}]",,official
1187414254682402816,CaltransD2,2019-10-24 17:03:14,From @NWSSacramento:  Fire Weather Outlook for today (10/24) through Monday (10/28).  #CAwx https://t.co/pLEQv3Xdyk,"[{'text': 'CAwx', 'indices': [86, 91]}]",,official
