id,username,date,text,hashtags,geo,type,tweet,road_closure
519967790208266240,CaltransDist3,2014-10-08 21:49:16+00:00,update  eto is 7    to reopen eb i-80 between auburn and colfax at clipper gap  detours  cars use bell to nb hwy 49  big rigs use hwy 20 ,,,official,Update  ETO is 7    to reopen EB I-80 between Auburn and Colfax at Clipper Gap  Detours  Cars use Bell to NB Hwy 49  Big rigs use Hwy 20 ,0
519952600498593792,CaltransDist3,2014-10-08 20:48:54+00:00,eastbound interstate 80 closed between auburn and colfax at applegate due vegetation fire  no eto,,,official,Eastbound Interstate 80 closed between Auburn and Colfax at Applegate due vegetation fire  No ETO,1
519937459191578625,CaltransDist3,2014-10-08 19:48:44+00:00,hwy 113 closed at george washington in sutter county to upright an overturned big rig  detours set up  no eto ,,,official,Hwy 113 closed at George Washington in Sutter County to upright an overturned big rig  Detours set up  No ETO ,1
519877652728274945,CaltransDist3,2014-10-08 15:51:05+00:00, d3pio update hwy 162 ot big rig is near butte city one-way traffic control still in effect cleanup is underway no eto ,,,official, D3PIO update hwy 162 OT big rig is near Butte City one-way traffic control still in effect cleanup is underway no ETO ,1
519876511751749632,CaltransDist3,2014-10-08 15:46:33+00:00,eastbound 80 at penryn rd #2&3 lanes blocked due to vehicle crash no eto  ,#2,,official,Eastbound 80 at Penryn Rd #2&3 lanes blocked due to vehicle crash no ETO  ,1
519871658396749824,CaltransDist3,2014-10-08 15:27:16+00:00,hwy 162 at shasta expect one-way traffic control due to overturned big rig caltrans in route for cleanup no eto ,,,official,Hwy 162 at Shasta expect one-way traffic control due to overturned big rig Caltrans in route for cleanup no ETO ,1
519306247905234944,CaltransDist3,2014-10-07 02:00:32+00:00,all clear on sb i-5 near q st ,,,official,All clear on SB I-5 near Q St ,0
519289028605390848,CaltransDist3,2014-10-07 00:52:07+00:00,“  bayareacommuter   d3pio are any nb lanes blocked ”northbound side of i-5 near q st  is free flowing ,,,official,“  BayAreaCommuter   D3PIO are any NB lanes blocked ”northbound side of I-5 near q St  is free flowing ,1
519284741678563329,CaltransDist3,2014-10-07 00:35:04+00:00,sac i-5 sb near q st  lanes #4&5 reopened due to earlier big rig crash  pass with caution ,#4,,official,Sac I-5 SB near Q St  Lanes #4&5 reopened due to earlier big rig crash  Pass with caution ,0
519283208199090177,CaltransDist3,2014-10-07 00:28:59+00:00,lanes blocked i-5 sb near q st due to two big rig colliding one rig is jack knifed blocking traffic no eto ,,,official,Lanes blocked I-5 SB near Q St due to two big rig colliding one rig is jack knifed blocking traffic NO ETO ,1
519269391184060417,CaltransDist3,2014-10-06 23:34:05+00:00,crash scne cleared on eb 80 at truxel ,,,official,Crash scne cleared on EB 80 at Truxel ,0
519250595073368064,CaltransDist3,2014-10-06 22:19:23+00:00,update  all clear on nb i-5 in zamora,,,official,UPDATE  All clear on NB I-5 in Zamora,0
519248937450864641,CaltransDist3,2014-10-06 22:12:48+00:00,update  nb i-5 in zamora #2 lane and zamora on-ramp closed due to vehicle fire ,#2,,official,UPDATE  NB I-5 in Zamora #2 lane and Zamora on-ramp closed due to vehicle fire ,1
519244682962817025,CaltransDist3,2014-10-06 21:55:54+00:00,nb i-5 near zamora #2 lane closed due to vehicle fire ,#2,,official,NB I-5 near Zamora #2 lane closed due to vehicle fire ,1
518264019103150081,CaltransDist3,2014-10-04 04:59:05+00:00,sb 99 near 12th avenue all clear,,,official,SB 99 near 12th Avenue all clear,0
518242406677090304,CaltransDist3,2014-10-04 03:33:12+00:00,traffic alert  fatal crash on sb 99 just north of 12th avenue sacramento  multiple vehicles involved  lanes blocked  no eto,,,official,TRAFFIC ALERT  Fatal crash on SB 99 just north of 12th Avenue Sacramento  Multiple vehicles involved  Lanes blocked  No ETO,1
518142500825874432,CaltransDist3,2014-10-03 20:56:13+00:00,all clear on 80 eb between raley and winters ,,,official,All clear on 80 EB between Raley and Winters ,0
518134437960118272,CaltransDist3,2014-10-03 20:24:11+00:00,lanes blocked 80 eb between raley and winters due to traffic collision  chp on scene,,,official,Lanes blocked 80 EB between Raley and Winters due to traffic collision  CHP on scene,0
517693922924331008,CaltransDist3,2014-10-02 15:13:44+00:00, melissacrowley that cutie would make everyone be  work zone alert   he is our mascot now  #workzonealert,#workzonealert,,official, MelissaCrowley That cutie would make everyone be  work zone alert   He is our mascot now  #workzonealert,0
517423362348703745,CaltransDist3,2014-10-01 21:18:37+00:00,hwy 12 and 160 at rio vista scheduled for maint wrk from 8 30pm– 6am sun  to fri  one-way traffic control and up to    boats ok ,,,official,HWY 12 and 160 at Rio Vista scheduled for Maint wrk from 8 30pm– 6am Sun  to Fri  One-way traffic control and up to    Boats OK ,1
517090540290977792,CaltransDist3,2014-09-30 23:16:06+00:00,traffic signals on red flash in all directions on hwy 20  10th st  & g st in marysville  allow extra travel time  eto is 8   ,,,official,Traffic signals on red flash in all directions on Hwy 20  10th St  & G St in Marysville  Allow extra travel time  ETO is 8   ,1
516988211382714368,CaltransDist3,2014-09-30 16:29:29+00:00,marysville charter academy for the arts performs at be track smart tribute to late  ,,,official,Marysville Charter Academy for the Arts performs at Be Track Smart tribute to Late  ,0
